"latin_name","hist_range_lat"
"Acanthinucella spirata",47.72
"Anteaeolidiella oliviae",37.89
"Anthopleura sola",37.5
"Aplysia californica",34.5
"Aplysia vaccaria",36.78
"Arbacia stellata",22.8
"Argonauta argo",34.5
"Berthella strongi",37.53
"Calanus minor",34.5
"Candacia curta",34.5
"Centropages bradyi",34.5
"Cestum veneris",34.5
"Chrysaora colorata",34.5
"Creseis virgula",34.5
"Crucigera websteri",33.475
"Doliolum denticulatum",34.5
"Doriopsilla albopunctata",39.31
"Doriopsilla fulva",33.74
"Dosidicus gigas",32.5
"Emerita analoga",32.67
"Eucidaris thouarsii",22.8
"Euphausia eximia",32.5
"Euphausia mutica",34.5
"Euphausia recurva",34.5
"Euphylax dovii",32.5
"Eurypon reiswigi",32.5
"Eurypon scruposus",32.5
"Helicosalpa virgula",32.5
"Hespererato vitellina",38.312
"Hippopodius hippopus",34.5
"Hyalocylis striata",34.5
"Hydroides elegans",34.5
"Hydroides gracilis",36.78
"Janolus barbarensis",37.5
"Kelletia kelletii",34.39
"Lissothuria nutriens",36.78
"Loligo opalescens",32.67
"Lophogorgia chiliensis",32.5
"Lovenia cordiformis",34.5
"Lyropectin subnudosus",22.8
"Lytechinus pictus",34.5
"Malacoplax californiensis",35.3
"Megabalanus californicus",36.78
"Mexacanthina lugubris",31.8
"Neolithodes diomedeae",35.41
"Nyctiphanes simplex",32.5
"Oceanapia flava",22.8
"Oceanapia polytuba",22.8
"Okenia angelensis",37.5
"Ophiothrix spiculata",37.69
"Pachythyone rubra",36.78
"Panulirus gracilis",32.5
"Panulirus interruptus",34.5
"Paraconcavus pacificus",36.78
"Petrolisthes manimaculis",41.05
"Phidiana hiltoni",37.89
"Physophora hydrostatica",36.78
"Pleuroncodes planipes",32.5
"Portunus xantusii",34.5
"Pyrosoma atlanticum",40
"Pyrosoma sp.",40
"Pyrosoma",40
"Rhincalanus nasutus",34.5
"Sagitta pseudoserratodentata",42
"Scoelcithrix danae",34.5
"Thylacodes squamigerus",34.5
"Spirobranchs spinosus",36
"Tetraclita rubescens",37.5
"Thalia democratica",35
"Thetys vagina",42
"Thetys",42
"Uca princeps",22.8
"Velella sp.",34.5
"Velella",34.5
